Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110GE 160300,認識音樂治療,Introduction to Music Therapy 	,"吳佳慧 WU, CHIA HUI",58,87.81,9.41
11110GE 160400,中醫與現代生活一,Traditional Chinese Medicine in Modern Life (I) 	,"李如英 LI, JU-YING",120,83.23,10.58
11110GE 162200,資訊素養與倫理,Information Literacy and Ethics 	,"區國良 OU, KUO-LIANG",55,88.13,11.10
11110GE 163700,莊子的人生哲學,The Philosophy of Life in Zhuangzi 	,"徐其寧 HSU, CHI-NING",49,80.10,15.58
11110GE 168200,鑑識科學的奧妙,Identify the Mysteries of Forensic Science 	,"任修平 JEN, HSIU-PING",70,86.93,7.54
11110GE 168700,身體的知行理論,The implication and cultivation of the body 	,"梁偉賢 LEONG, WEI-HEAN",48,4.17,0.26
11110GE 169600,媒體藝術,The Art of Medias 	,"邱永中 CHIU, YUNG-CHUNG",25,90.04,9.00
11110GE 170200,基因改造食品與健康,Genetically modified food and health 	,"黃琇珍 HUANG, HSIU-CHEN",41,87.73,12.43
11110GE 170600,當代西方與臺灣建築特論,Special Topics on Contemporary Western and Taiwanese Architecture 	,"吳光庭 WU, KWANG-TYNG",12,83.83,2.07
11110GE 171400,音樂創作與台灣社會運動,The Making of Popular Music in Taiwan Social Movement 	,"陳柏偉 CHEN, BO-WEI",66,80.83,21.37
11110GE 172200,生活中的科學,Science in Daily Life 	,"白培霖 PAI, PEI-LIN",75,81.95,13.15
11110GE 173201,鑑識科學與犯罪預防,Forensic Science and Crime Prevention 	,"李承龍 LEE, CHENG-LUNG",59,89.17,11.23
11110GE 173202,鑑識科學與犯罪預防,Forensic Science and Crime Prevention 	,"王明偉 WANG, MING-WOEI",56,4.06,0.22
11110GE 174400,食品政治,Food and Politics 	,"譚偉恩 TAN, WEI-EN",55,89.44,3.58
11110GE 175600,京劇新美學：表演入門,New Aesthetics of Jingju: Acting for Beginners 	,"羅仕龍 LO, SHIH-LUNG, 林佳儀 LIN, CHIA-YI",21,4.24,0.22
11110GE 178200,針灸與近代科學,Acupuncture and Modern Sciences 	,"張翔 CHANG, SHYANG",100,87.86,10.45
11110GE 180200,運動與健康,Exercise and Health 	,"朱真儀 CHU, CHEN-YI",41,85.61,10.83
11110GE 181601,非劇情電影賞析,Non-Fiction Film Appreciation 	,"游惠貞 YU, HUI-CHEN",49,76.20,13.86
11110GE 181602,非劇情電影賞析,Non-Fiction Film Appreciation 	,"游惠貞 YU, HUI-CHEN",48,77.98,10.43
11110GE 182400,東南亞各國國情與文化,State Situations and Culture in Southeast Asia 	,"林若雩 LIN, JUO-YU",61,82.67,7.40
11110GE 183200,運動科學概論,Introduction to exercise science 	,"朱真儀 CHU, CHEN-YI",39,83.26,10.74
11110GE 183400,生命：多元視角的凝視與對話,Perspectives on Life Education 	,"李佳玫 LI, CHIA-MEI, 林基興 LIN, JI-SHING, 謝小芩 HSIEH, HSIAO-CHIN, 洪巳軒 HUNG, SZU-HSUAN, 張繼瑩 CHANG, CHI-YING, 蔣興儀 CHIANG, HSING-YI, 李姝慧 LEE, SHU-HUI, 顏士清 YEN, SHIH-CHING, 詹雨臻 CHAN, YU-CHEN, 陳淑芬 SHU-FEN CHEN, 施惠方 SZU, HUI-FANG",24,87.29,9.46
11110GE 185200,綠色能源,Green Energy 	,"高銘志 KAO, MING-CHIH",58,3.86,0.36
11110GE 186200,遇見科學--時間、演化、選擇的科學,Science Encountered-Time, evolution, and Decisions 	,"潘瑋 PAN, WEI",52,78.37,14.91
11110GE 187200,跨領域的中醫觀,Interdiscipline Viewpoint of Chinese Medicine 	,"鄭宏足 CHENG, HUNG-TSU",45,83.36,6.80
11110GE 189200,生活化學應用：身在毒中不知毒,The Application of Life Chemistry: Living in a Poisoned Environment but being Unaware 	,"任修平 JEN, HSIU-PING",122,88.26,6.59
11110GE 190200,太空探索：理論與實踐,Space Exploration: Theory and Practice 	,"廖瑩 LIAO, YING",52,3.71,0.62
11110GE 191200,料理中的科學,Science of Cooking 	,"張蓉 CHANG, JUNG",70,87.47,5.57
11110GE 193200,台灣半導體產業發展史,Developmental History of Semiconductor Industry in Taiwan 	,"王俊程 WANG, JYUN-CHENG, 史欽泰 SHIH, CHIN-TAY, 羅達賢 LO, TA-HSIEN",45,3.75,0.47
11110GE 193600,劇本演讀,Staged Readings 	,"安原良 AN, YUAN-LIANG",20,3.89,0.26
11110GE 196200,生活中的選擇與賽局,Decision making and Games in daily life 	,"潘瑋 PAN, WEI",68,84.94,8.14
11110GE 199400,新聞學概論,Introduction to Journalism 	,"蒯亮 LIANG, KUAI",28,81.86,12.79
11110GE 199600,音樂創作,Write Some Notes for Music 	,"林怡君 LIN, I-CHUN",92,88.11,9.29
11110GE 200101,自主學習：實驗影像創作的思辨技術與實踐,Self -Planned Learning: The Technique and Implement of Experimental Video Art 	,"通識教育中心 ",6,89.33,3.04
11110GE 200102,自主學習：俄烏戰爭下的國際新情勢,Self -Planned Learning: New international situation under the Russian-Ukrainian war 	,"通識教育中心 ",8,4.15,0.15
11110GE 200103,自主學習：文化傳承新可能--北埔導覽創生,Self -Planned Learning: Cultural Heritage：Tour Guide Training for Beipu Revitalization Program 	,"通識教育中心 ",4,4.30,0.00
11110GEC 110301,價值與實踐,Value and Practice 	,"洪巳軒 HUNG, SZU-HSUAN",85,76.69,15.02
11110GEC 110302,價值與實踐,Value and Practice 	,"洪巳軒 HUNG, SZU-HSUAN",69,74.25,11.81
11110GEC 110500,數理思維,Mathematical and scientific thinking 	,"陳國璋 CHEN, KUO-CHANG",65,3.22,0.99
11110GEC 110700,思想經典：存在主義經典選讀,Classics of Western Thought: Classics of Existentialism 	,"吳俊業 NG, CHON IP",50,81.58,15.60
11110GEC 110800,思想經典：《荀子》選讀,Selections from the Xunzi 	,"洪巳軒 HUNG, SZU-HSUAN",63,72.59,23.40
11110GEC 111300,思想經典：《周易》選讀,Selected Readings of Changes 	,"黃忠天 HUANG, CHUNG-TIEN",80,80.28,9.26
11110GEC 111501,統計思維與分析,Statistical Thinking and Analysis 	,"張延彰 CHANG, YEN-CHANG",56,91.71,3.72
11110GEC 111502,統計思維與分析,Statistical Thinking and Analysis 	,"張延彰 CHANG, YEN-CHANG",58,91.64,3.74
11110GEC 111503,統計思維與分析,Statistical Thinking and Analysis 	,"張延彰 CHANG, YEN-CHANG",46,87.46,8.95
11110GEC 112100,思想經典：民國儒家思想,The Philosophy of Confucianism in Modern China 	,"楊儒賓 YANG, RUR-BIN",57,82.68,3.53
11110GEC 112300,漢代歷史與思想,History and Thought in Han Dynasty 	,"洪巳軒 HUNG, SZU-HSUAN",68,80.00,13.50
11110GEC 112400,思想經典：康德《道德形上學基礎》,Classics of Western Thought: Kant’s Groundwork of the Metaphysics of Morals 	,"鄭志忠 JENG, JYH-JONG",56,75.48,20.87
11110GEC 120100,當代生命科學,Contemporary Biology and Your Life 	,"周秀專 CHOU, HSIU-CHUAN",64,80.48,13.09
11110GEC 120200,生態體系與全球變遷,Eco-system and Global Changes 	,"游能悌 YU, NENG-TI",97,84.40,7.10
11110GEC 120301,心理學與現代生活,Psychology and Modern Life 	,"李姝慧 LEE, SHU-HUI",49,81.73,9.20
11110GEC 120302,心理學與現代生活,Psychology and Modern Life 	,"李姝慧 LEE, SHU-HUI",46,82.48,7.15
11110GEC 120303,心理學與現代生活,Psychology and Modern Life 	,"李姝慧 LEE, SHU-HUI",42,83.26,7.57
11110GEC 120304,心理學與現代生活,Psychology and Modern Life 	,"陳舜文 CHEN, SHUN-WEN",52,83.46,6.34
11110GEC 120601,群眾的心理分析,Psychoanalysis of Group 	,"蔣興儀 CHIANG, HSING-YI",33,88.18,1.64
11110GEC 120602,群眾的心理分析,Psychoanalysis of Group 	,"蔣興儀 CHIANG, HSING-YI",32,87.63,2.50
11110GEC 120700,自然環境之變遷與永續,Changes and Sustainability of Nature 	,"顏士清 YEN, SHIH-CHING",81,81.22,13.81
11110GEC 130101,認識藝術：視覺藝術,Understanding Art: Visual Arts 	,"馬孟晶 MA, MENG-CHING",52,80.25,9.55
11110GEC 130102,認識藝術：視覺藝術,Understanding Art: Visual Arts 	,"馬孟晶 MA, MENG-CHING",46,81.67,8.17
11110GEC 130401,藝術與社會,Art and Society 	,"梅韻秋 MEI, YUN-CHIU",40,80.38,9.95
11110GEC 130402,藝術與社會,Art and Society 	,"梅韻秋 MEI, YUN-CHIU",35,78.23,16.20
11110GEC 130700,文學經典：台灣文學選讀,Classic of Literature: Selection from Classics in Taiwanese Literature 	,"王惠珍 WANG, HUI-CHEN",53,83.08,14.00
11110GEC 130800,藝術經典：西洋藝術名作精選,The Canon of Art: Selected Masterpieces of Western Art 	,"梅韻秋 MEI, YUN-CHIU",37,81.00,11.89
11110GEC 131000,認識藝術：音樂,Understanding Art : Music 	,"陳孟亨 CHEN, MENG-HENG",54,82.07,16.12
11110GEC 131100,藝術經典：中國藝術名品,Art Historical Canon: Chinese Art 	,"馬孟晶 MA, MENG-CHING",41,76.44,18.49
11110GEC 131301,文化與創意：文創產品設計與設計思考,Innovative design and its Design Thinking 	,"黃致傑 HUANG Chih-Chieh",38,91.26,5.45
11110GEC 131302,文化與創意：文創產品設計與設計思考,Innovative design and its Design Thinking 	,"黃致傑 HUANG Chih-Chieh",35,86.51,13.30
11110GEC 131400,認識藝術：戲劇,Understanding Art: Theatre Arts 	,"石婉舜 SHIH, WAN-SHUN",49,84.29,5.79
11110GEC 131500,藝術經典：中國歷代主流工藝,Art Classics: Chinese Crafts and Decorative Arts 	,"楊美莉 YANG, MEI-LI",57,78.88,13.46
11110GEC 131600,藝術經典：中國玉器與考古,Art Classics: Chinese Archaic Jade and Archaeology 	,"楊美莉 YANG, MEI-LI",42,77.69,9.58
11110GEC 131800,藝術經典：近代建築藝術發展源流,Art Classics: The Origin and Development of Modern Architecture 	,"吳光庭 WU, KWANG-TYNG",48,81.19,9.33
11110GEC 132000,藝術經典：西洋風景名畫賞析,Classics in Art: Appreciation of Western Landscape Paintings 	,"張琳 CHANG, LIN",46,3.70,0.59
11110GEC 140201,社會文化分析：跨文化比較,Social and Cultural Analysis: Cross-Cultural Comparison 	,"賴婉琪 LAI, YUEN-KI",19,82.37,6.19
11110GEC 140202,社會文化分析,Social and cultural Analysis 	,"鄭志鵬 CHENG, CHIH-PENG",46,82.24,10.51
11110GEC 140203,社會文化分析：教育議題,Social and Cultural Analysis:Educational Issues 	,"謝小芩 HSIEH, HSIAO-CHIN",29,79.72,15.54
11110GEC 140300,媒體探索與反思,Media Understanding and Rethinking 	,"翁曉玲 WENG, HSIAO-LING",63,78.22,7.28
11110GEC 140401,全球政治經濟學,Global Political Economy 	,"李文政 LEE,WEN-CHENG",48,74.40,20.74
11110GEC 140402,全球政治經濟學,Global Political Economy 	,"方天賜 FANG, TIEN-SZE",56,83.98,5.44
11110GEC 140403,全球政治經濟學,Global Political Economy 	,"方天賜 FANG, TIEN-SZE",56,84.75,4.67
11110GEC 140500,當代法哲學經典導讀,Classic Readings in the Philosophy of Law 	,"陳弘儒 CHEN, HUNG-JU",19,2.97,1.37
11110GEC 140601,社會學經典名著,Classic Works of Sociology 	,"賴婉琪 LAI, YUEN-KI",26,82.08,6.34
11110GEC 140602,社會學經典名著,Classic Works of Sociology 	,"賴婉琪 LAI, YUEN-KI",32,77.44,18.02
11110GEC 150101,科學革命,The Scientific Revolution 	,"徐光台 HSU, KUANG-TAI",43,78.28,12.65
11110GEC 150102,科學革命,The Scientific Revolution 	,"英家銘 YING, JIA-MING",53,84.62,6.84
11110GEC 150200,科技與社會,Science, Technology and Society 	,"林宗德 LIN, TZUNG-DE",16,3.67,0.68
11110GEC 150201,科技與社會,Science, Technology and Society 	,"林宗德 LIN, TZUNG-DE",20,3.73,0.64
11110GEC 150401,前近代科學史,Introduction to the History of Pre-Modern Science 	,"琅元 VOLKOV, ALEXEI KARLOVITCH",175,87.01,5.24
11110GEC 150402,前近代科學史,Introduction to the History of Pre-Modern Science 	,"琅元 VOLKOV, ALEXEI KARLOVITCH",161,87.22,7.49
11110GEC 150700,環境治理與管理,Environmental Governance and Management 	,"申欽鳴 SHIN, KYOUNG-MUN",7,3.29,0.44
11110GEC 150800,東亞科學經典：《九章算術》與早期中華帝國,The Nine Chapters of Mathematical Art and the World of Early Imperial China 	,"英家銘 YING, JIA-MING",50,88.52,7.72
11110GEC 160100,文學經典：李杜詩選讀,Selections from the Poetry of Li Bai and Du Fu 	,"向懿柔 HSIANG, I-JOU",51,82.35,7.15
11110GEC 160201,文學經典：《詩經》選讀,Selections from the Book of Odes 	,"王月秀 WANG, YUE-SHIOU",47,3.78,0.65
11110GEC 160202,文學經典：《詩經》選讀,Selections from the Book of Odes 	,"陳燕梅 CHEN, YEN-MEI",72,93.89,5.87
11110GEC 160300,思想經典：《論》《孟》選讀,The selected readings of Lun Yu and Men Zu 	,"徐其寧 HSU, CHI-NING",49,83.22,15.93
11110GEC 160600,文學經典：《左傳》選讀,Selections from the Tso Chuan 	,"謝明憲 HSIEH, MING-HSIEN",58,3.84,0.32
11110GEC 161001,文學經典：《史記》選讀,Selections from the Records of Grand Historian 	,"張菀琤 CHANG, WAN-CHENG",40,84.00,6.61
11110GEC 161002,文學經典：《史記》選讀,Selections from the Records of Grand Historian 	,"張菀琤 CHANG, WAN-CHENG",37,85.16,6.36
11110GEC 161100,文學經典：魏晉風流與文學,Readings in the Wei and Jin Dynasties Literature 	,"林宏安 LIN, HUNG-AN",50,3.78,0.62
11110GEC 161200,思想經典：《莊子》選讀,The selected readings of Zhuang Zi 	,"賴昶亘 LAI, CHANG-XUAN",54,3.85,0.45
11110GEC 161300,思想經典：《六祖壇經》選讀,Reading Classics in Eastern Philosophy: the Platform Sutra of the Sixth Patriarch 	,"王月秀 WANG, YUE-SHIOU",46,3.79,0.63
11110GEC 161500,思想經典：《孟子》選讀,The selected readings of Men Zi 	,"賴昶亘 LAI, CHANG-XUAN",53,3.69,0.78
11110GEC 162000,文學經典：唐吉軻德與幽默文學選讀,Don Quixote and Selected Comedies 	,"陳麒方 CHEN, CHI-FANG",48,3.63,0.77
11110GEC 170201,歷史與世界：11世紀以降,History and the World: Since the 11th Century 	,"陳麗華 CHEN LI HUA",59,85.85,4.76
11110GEC 170202,歷史與世界：11世紀以降,History and the World: Since the 11th Century 	,"陳麗華 CHEN LI HUA",48,82.60,11.32
11110GEC 170401,歷史現場：歷史文獻、現地考察與歷史書寫,Historical Fieldwork: Historical Source, Fieldwork, and the Writing of History 	,"張繼瑩 CHANG, CHI-YING",32,4.13,0.40
11110GEC 170402,歷史現場：歷史文獻、現地考察與歷史書寫,Historical Fieldwork: Historical Source, Fieldwork, and the Writing of History 	,"張繼瑩 CHANG, CHI-YING",34,4.24,0.16
11110GEC 170500,歷史思維：歷史學家如何想問題,Historical thinking：How do Historians think? 	,"陳麗華 CHEN LI HUA",59,87.08,3.84
11110GPTS511200 臺灣社會與文化專題,Special,Topics on Cultures and Societies of Taiwan 	,"李威宜 LEE, WEI-I",12,4.03,0.23
11110GPTS511300 教育人類學,Anthropology,of Education 	,"方怡潔 FANG, I-CHIEH",12,85.75,3.27
11110GPTS511900 台灣文化的更新,Cultural,Renewal in Taiwan 	,"魏捷茲 WILKERSON, JAMES RUSSELL",2,4.30,0.00
11110GPTS521600 現代文學研究與實作,Research,and Practice of Modern Literature 	,"劉柳書琴 LIU, LIU SHU QIN",14,91.93,2.02
11110GPTS522200 女性生命書寫專題,Women's,life writing 	,"陳秀玲 CHEN， HSIU LIN",12,3.99,0.27
11110HBA 500200,健康政策導論,Introduction to Health Policy 	,"林世昌 LIN, SHIH-CHANG, 陳仲嶙 CHEN, CHUNG-LIN, 林昀嫺 LIN, YUN-HSIEN",15,89.13,2.92
11110HBA 500300,醫療財務管理,Healthcare Financial Management 	,"林哲群 LIN, CHE-CHUN, 張焯然 CHANG, JOW-RAN",15,4.30,0.00
11110HBA 500400,健康產業行銷管理,Marketing in Healthcare Industry 	,"丘宏昌 CHIU, HUNG-CHANG, 吳清炎 WU. CHING-YAN",23,3.97,0.23
11110HBA 500900,AI與健康大數據,Big Data Analytics in Healthcare 	,"林世昌 LIN, SHIH-CHANG, 簡禎富 CHIEN, CHEN-FU, 桑慧敏 SONG, WHEYMING",14,87.93,3.55
11110HBA 501000,企業經營策略管理,Strategic Management 	,"洪世章 HUNG, SHIH-CHANG",14,4.02,0.18
11110HBA 501100,健康醫療產業發展與趨勢,Recent Development and Trend of Healthcare Industry 	,"高瑞和 RUEY HO KAO, 蔡昌憲 TSAI, CHANG-HSIEN",21,4.21,0.14
11110HIS 111000,中國歷史的演變發展二,Continuity and Change in Chinese History (II) 	,"張元 CHANG, YUEN",52,83.98,8.20
11110HIS 213000,歷史文化經典：《資治通鑑南北朝前期》選讀,Selected Readings from Zizhi tongjian：South and North Dynasty 	,"張元 CHANG, YUEN",140,85.13,8.52
11110HIS 213100,歷史文化經典：中國上古歷史人物淺談,An Analysis of Chinese Historical Personages 	,"許松源 SHU, SUNG-YUAN",51,69.20,29.72
11110HIS 231700,向大師致敬：探索藝術經典,Tribute to Masters: Exploring Masterpieces of Art 	,"馬雅貞 MA, YA-CHEN",3,3.67,0.29
11110HIS 232700,歷史與世界：海洋世界的形成,History and the World：Introduction of Maritime History 	,"李毓中 LEE, YU-CHUNG",239,4.16,0.21
11110HIS 233100,歷史思維：歷史與思考,How to learn and think history? 	,"許松源 SHU, SUNG-YUAN",59,75.32,18.36
11110HIS 233300,歷史與世界：近代世界的形成,History and the World: the Making of the Modern World 	,"馬文英 MA, WEN-YING",65,73.14,22.56
11110HIS 233700,歷史思維：知人論世,Historical Thinking 	,"李卓穎 LI, CHO-YING",8,85.13,14.75
11110HIS 240200,台灣文化史,The History of Taiwan Culture 	,"黃子寧 HUANG,TZU-NING",69,84.96,5.94
11110HIS 260500,德國史,The German History 	,"馬文英 MA, WEN-YING",77,73.39,20.55
11110HIS 503600,歷史研究與討論,Seminar on Historical Researches 	,"毛傳慧 MAU, CHUAN-HUI",11,3.79,0.38
11110HIS 504000,日文名著精選,Reading in Japanese Documents 	,"黃依妹 HUANG, I-MEI",12,90.83,5.57
11110HIS 510000,明清江南城市文化史,Jiangnan Urban Culture in Late Imperial China 	,"馬雅貞 MA, YA-CHEN",3,3.57,0.42
11110HIS 510300,e-考據與歷史研究,e-Evidential Research and Studies in History 	,"黃一農 HUANG, YI-LONG",9,3.88,0.35
11110HIS 511800,中國近世宗教與社會,Religion and Society in Late Imperial China 	,"廖咸惠 LIAO, HSIEN-HUEI",7,83.86,3.98
11110HIS 514700,滿文歷史文獻導讀,Introduction to Manchu Historical Sources 	,"吳國聖 WU, KUO-SHENG",12,4.04,0.29
11110HIS 610900,臺灣史研究專題,Seminar on Taiwan History 	,"邱馨慧 CHIU, HSIN-HUI",3,91.00,0.82
11110HIS 700500,英文史學經典閱讀,English Reading of Chinese Historiography 	,"王憲群 WANG, HSIEN-CHUN",4,3.93,0.13
11110HSS 100100,台灣啟航：跨領域的解讀與對話,Taiwanese Society: Interdisciplinary Dialogue 	,"張嘉鳳 CHANG, CHIA-FENG",97,3.80,0.37
11110HSS 100300,認識世界：世界古文明,History of Ancient World Civilization 	,"邱鴻霖 CHIU, HUNG-LIN",76,84.74,7.53
11110HSS 101100,人文思維：哲學基本問題,Central Problems in Philosophy 	,"鄭喜恒 CHENG, HSI-HENG",84,3.27,1.14
11110HSS 110000,史學導論,Introduction to History 	,"廖咸惠 LIAO, HSIEN-HUEI",33,77.76,8.28
11110HSS 140000,社會學導論,Introduction to Sociology 	,"林文蘭 LIN, WEN-LAN",88,79.59,8.70
11110HSS 150000,人類學導論,Introduction to Anthropology 	,"林浩立 LIN, HAO-LI",86,82.97,9.06
11110HSS 200300,人文社會科學經典閱讀Ｃ,Reading Classics: Humanities and Social Sciences Ｃ 	,"陳瑞樺 CHEN, JUI-HUA",65,79.85,13.26
11110HSS 202500,意識、記憶與腦科學的解釋,Neuroscience Interpretations concerning the Problem of Consciousness and Memory 	,"蔡英俊 TSAI, YING-CHUN, 江安世 CHIANG, ANN-SHYN",23,3.59,0.65
11110HSS 211700,商品的世界史,The World History of Trade Goods 	,"邱馨慧 CHIU, HSIN-HUI",25,87.48,4.33
11110HSS 211800,中國中古史,An Introduction to Chinese Medieval History 	,"施淳益 SHIH, CHUN-YI",9,3.20,0.55
11110HSS 220000,邏輯,Logic 	,"鄭志忠 JENG, JYH-JONG",23,64.52,25.59
11110HSS 220300,倫理學,Ethics 	,"陳斐婷 CHEN, FEI-TING",15,3.86,0.64
11110HSS 221300,近代日本哲學,Modern Japanese Philosophy 	,"黃文宏 HUANG, WEN-HONG",8,3.49,1.01
11110HSS 230000,語言分析,Linguistic Analysis 	,"梅思德 MEISTERERNST BARBARA",14,89.21,6.64
11110HSS 230100,語音學,Phonetics 	,"謝豐帆 HSIEH, FENG-FAN",24,2.92,1.04
11110HSS 230200,比較語法,Syntax from a comparative perspective 	,"廖家萱 LIAO, CHIA-HSUAN",8,4.03,0.34
11110HSS 240100,古典社會學理論,Classical Sociological Theory 	,"李韶芬 LEE, SHAO-FEN",41,84.22,6.79
11110HSS 240200,社會學研究方法一,Social Research Methods (I) 	,"曾柏嘉 TSENG, PO-CHIA",29,3.51,0.57
11110HSS 250300,人類學的實踐,Practice of Anthropology 	,"方怡潔 FANG, I-CHIEH",15,79.33,14.27
11110HSS 251700,新時代的另類教科書：日劇,Alternative Textbook for a New Age: Japan Drama 	,"黃應貴 HUANG, YING-KUEI",6,3.43,0.45
11110HSS 270000,性別學導論,Introduction to Gender Studies 	,"方怡潔 FANG, I-CHIEH, 楊佳嫻 YANG, CHIA-HSIEN, 林文蘭 LIN, WEN-LAN",74,82.84,12.02
11110HSS 290000,台灣文學史,The History of Taiwanese Literature 	,"陳芷凡 CHEN, CHIH-FAN",37,83.76,7.13
